id,timestamp,source,proposals_found,new_proposals,errors
716,2026-06-08T21:00:01.290664+00:00,koios,123,1,[]
715,2026-06-08T17:00:01.458827+00:00,koios,122,0,[]
714,2026-06-08T13:00:01.155668+00:00,koios,122,0,[]
713,2026-06-08T09:00:01.431990+00:00,koios,122,0,[]
712,2026-06-08T05:00:01.736719+00:00,koios,122,0,[]
711,2026-06-08T01:00:01.409955+00:00,koios,122,0,[]
710,2026-06-07T21:00:01.541913+00:00,koios,122,0,[]
709,2026-06-07T17:00:01.203124+00:00,koios,122,0,[]
708,2026-06-07T13:00:01.641403+00:00,koios,122,0,[]
707,2026-06-07T09:00:01.619588+00:00,koios,122,0,[]
706,2026-06-07T05:00:01.854960+00:00,koios,122,0,[]
705,2026-06-07T01:00:01.969859+00:00,koios,122,0,[]
704,2026-06-06T21:00:01.902270+00:00,koios,122,0,[]
703,2026-06-06T17:00:01.963951+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
702,2026-06-06T13:00:01.848978+00:00,koios,122,0,[]
701,2026-06-06T09:00:01.557770+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
700,2026-06-06T05:00:01.238507+00:00,koios,122,0,[]
699,2026-06-06T01:00:02.074233+00:00,koios,122,0,[]
698,2026-06-05T21:00:01.749231+00:00,koios,122,1,[]
697,2026-06-05T17:00:01.581354+00:00,koios,121,0,[]
696,2026-06-05T13:00:01.827262+00:00,koios,121,0,[]
695,2026-06-05T09:00:01.431200+00:00,koios,121,0,[]
694,2026-06-05T05:00:01.763071+00:00,koios,121,0,[]
693,2026-06-05T01:00:01.714831+00:00,koios,121,0,[]
692,2026-06-04T21:00:01.399690+00:00,koios,121,0,[]
691,2026-06-04T17:00:02.092282+00:00,koios,121,0,[]
690,2026-06-04T13:00:01.959845+00:00,koios,121,0,[]
689,2026-06-04T09:00:01.540380+00:00,koios,121,0,[]
688,2026-06-04T05:00:02.016992+00:00,koios,121,0,[]
687,2026-06-04T01:00:01.272873+00:00,koios,121,0,[]
686,2026-06-03T21:00:01.808657+00:00,koios,121,0,[]
685,2026-06-03T17:00:01.693941+00:00,koios,121,1,[]
684,2026-06-03T13:00:01.724656+00:00,koios,120,0,[]
683,2026-06-03T09:00:01.600810+00:00,koios,120,0,[]
682,2026-06-03T05:00:01.551032+00:00,koios,120,0,[]
681,2026-06-03T01:00:02.029796+00:00,koios,120,0,[]
680,2026-06-02T21:00:01.433658+00:00,koios,120,0,[]
679,2026-06-02T17:00:01.508134+00:00,koios,120,0,[]
678,2026-06-02T13:00:01.243753+00:00,koios,120,0,[]
677,2026-06-02T09:00:01.183965+00:00,koios,120,0,[]
676,2026-06-02T05:00:01.471935+00:00,koios,120,0,[]
675,2026-06-02T01:00:01.966156+00:00,koios,120,0,[]
674,2026-06-01T21:00:01.659975+00:00,koios,120,0,[]
673,2026-06-01T17:00:01.254233+00:00,koios,120,0,[]
672,2026-06-01T13:00:01.418389+00:00,koios,120,0,[]
671,2026-06-01T09:00:01.221430+00:00,koios,120,0,[]
670,2026-06-01T05:00:01.501863+00:00,koios,120,0,[]
669,2026-06-01T01:00:01.877366+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
668,2026-05-31T21:00:01.705714+00:00,none,0,0,"[""Both Koios and Blockfrost unavailable""]"
667,2026-05-31T17:00:02.053267+00:00,koios,120,0,[]
